raceId,max_pit_duration,mean_pit_duration,min_pit_duration,total_pit_stops,year,round,circuitId,race_name,date,circuit_name,country,alt,lat,lng,avg_stop_lap,num_stops,avg_grid_top3,total_pit_stops_winner
942,25.576,24.725285714285715,24.088,7,2015,16,69,United States Grand Prix,2015-10-25,Circuit of the Americas,USA,161,30.1328,-97.6411,29.428571428571427,7,5.333333333333333,2.0
943,23.16,22.57383333333333,22.303,6,2015,17,32,Mexican Grand Prix,2015-11-01,Autódromo Hermanos Rodríguez,Mexico,2227,19.4042,-99.0907,34.833333333333336,6,3.0,2.0
944,25.039,23.661555555555555,22.936,9,2015,18,18,Brazilian Grand Prix,2015-11-15,Autódromo José Carlos Pace,Brazil,785,-23.7036,-46.6997,31.444444444444443,9,2.0,3.0
945,25.613,22.28833333333333,21.346,6,2015,19,24,Abu Dhabi Grand Prix,2015-11-29,Yas Marina Circuit,UAE,3,24.4672,54.6031,22.5,6,2.0,2.0
948,24.548,22.3395,21.339,4,2016,1,1,Australian Grand Prix,2016-03-20,Albert Park Grand Prix Circuit,Australia,10,-37.8497,144.968,19.0,4,2.0,2.0
949,27.226,25.24288888888889,24.512,9,2016,2,3,Bahrain Grand Prix,2016-04-03,Bahrain International Circuit,Bahrain,7,26.0325,50.5106,26.88888888888889,9,2.333333333333333,3.0
950,30.115,23.81325,22.276,8,2016,3,17,Chinese Grand Prix,2016-04-17,Shanghai International Circuit,China,5,31.3389,121.22,21.25,8,3.6666666666666665,2.0
951,30.498,30.069333333333333,29.709,3,2016,4,71,Russian Grand Prix,2016-05-01,Sochi Autodrom,Russia,2,43.4057,39.9578,19.33333333333333,3,4.666666666666667,1.0
953,35.327,27.6036,25.054,5,2016,6,6,Monaco Grand Prix,2016-05-29,Circuit de Monaco,Monaco,7,43.7347,7.42056,27.4,5,3.6666666666666665,2.0
954,22.597,22.34625,22.184,4,2016,7,7,Canadian Grand Prix,2016-06-12,Circuit Gilles Villeneuve,Canada,13,45.5,-73.5228,23.75,4,3.6666666666666665,2.0
955,20.614,20.36466666666667,20.058,3,2016,8,73,European Grand Prix,2016-06-19,Baku City Circuit,Azerbaijan,-7,40.3725,49.8533,19.0,3,3.6666666666666665,1.0
956,22.918,19.9868,16.983,10,2016,9,70,Austrian Grand Prix,2016-07-03,Red Bull Ring,Austria,678,47.2197,14.7647,28.3,10,4.333333333333333,4.0
957,31.995,29.934166666666663,28.728,6,2016,10,9,British Grand Prix,2016-07-10,Silverstone Circuit,UK,153,52.0786,-1.01694,12.166666666666666,6,2.0,2.0
958,22.351,21.84083333333333,21.233,6,2016,11,11,Hungarian Grand Prix,2016-07-24,Hungaroring,Hungary,264,47.5789,19.2486,27.33333333333333,6,2.0,2.0
959,19.137,18.825666666666663,18.475,9,2016,12,10,German Grand Prix,2016-07-31,Hockenheimring,Germany,103,49.3278,8.56583,30.0,9,3.0,3.0
960,24.343,22.9755,22.432,4,2016,13,13,Belgian Grand Prix,2016-08-28,Circuit de Spa-Francorchamps,Belgium,401,50.4372,5.97139,26.0,4,9.0,3.0
961,25.55,24.922,23.633,4,2016,14,14,Italian Grand Prix,2016-09-04,Autodromo Nazionale di Monza,Italy,162,45.6156,9.28111,24.5,4,2.0,1.0
962,30.546,28.05481818181818,24.453,11,2016,15,15,Singapore Grand Prix,2016-09-18,Marina Bay Street Circuit,Singapore,18,1.2914,103.864,21.818181818181817,11,2.0,3.0
963,28.274,24.569625,23.476,8,2016,16,2,Malaysian Grand Prix,2016-10-02,Sepang International Circuit,Malaysia,18,2.76083,101.738,27.5,8,3.0,3.0
964,23.15,22.864500000000003,22.673,6,2016,17,22,Japanese Grand Prix,2016-10-09,Suzuka Circuit,Japan,45,34.8431,136.541,20.83333333333333,6,2.0,2.0
965,24.149,23.7235,23.526,6,2016,18,69,United States Grand Prix,2016-10-23,Circuit of the Americas,USA,161,30.1328,-97.6411,19.33333333333333,6,2.0,2.0
966,22.443,22.059,21.709,4,2016,19,32,Mexican Grand Prix,2016-10-30,Autódromo Hermanos Rodríguez,Mexico,2227,19.4042,-99.0907,22.0,4,2.333333333333333,1.0
967,24.435,24.22066666666667,24.041,3,2016,20,18,Brazilian Grand Prix,2016-11-13,Autódromo José Carlos Pace,Brazil,785,-23.7036,-46.6997,36.66666666666666,3,2.333333333333333,2.0
968,23.753,22.084833333333336,21.218,6,2016,21,24,Abu Dhabi Grand Prix,2016-11-27,Yas Marina Circuit,UAE,3,24.4672,54.6031,19.5,6,2.6666666666666665,2.0
969,21.988,21.712333333333333,21.44,3,2017,1,1,Australian Grand Prix,2017-03-26,Albert Park Grand Prix Circuit,Australia,10,-37.8497,144.968,21.666666666666668,3,2.0,1.0
970,23.071,19.931,17.354,13,2017,2,17,Chinese Grand Prix,2017-04-09,Shanghai International Circuit,China,5,31.3389,121.22,11.23076923076923,13,6.333333333333333,5.0
971,30.687,27.2155,24.314,6,2017,3,3,Bahrain Grand Prix,2017-04-16,Bahrain International Circuit,Bahrain,7,26.0325,50.5106,23.33333333333333,6,2.0,2.0
972,30.152,29.868333333333336,29.356,3,2017,4,71,Russian Grand Prix,2017-04-30,Sochi Autodrom,Russia,2,43.4057,39.9578,30.0,3,2.0,1.0
973,22.499,21.96683333333333,21.544,6,2017,5,4,Spanish Grand Prix,2017-05-14,Circuit de Barcelona-Catalunya,Spain,109,41.57,2.26111,27.83333333333333,6,3.0,2.0
974,24.833,24.44066666666667,24.183,3,2017,6,6,Monaco Grand Prix,2017-05-28,Circuit de Monaco,Monaco,7,43.7347,7.42056,37.0,3,2.6666666666666665,1.0
975,23.309,23.10533333333333,22.946,3,2017,7,7,Canadian Grand Prix,2017-06-11,Circuit Gilles Villeneuve,Canada,13,45.5,-73.5228,24.33333333333333,3,3.333333333333333,2.0
976,36.262,21.036625,14.978,8,2017,8,73,Azerbaijan Grand Prix,2017-06-25,Baku City Circuit,Azerbaijan,-7,40.3725,49.8533,11.75,8,6.666666666666667,4.0
977,22.387,21.95,21.713,3,2017,9,70,Austrian Grand Prix,2017-07-09,Red Bull Ring,Austria,678,47.2197,14.7647,36.0,3,2.333333333333333,1.0
978,29.057,28.281,27.733,4,2017,10,9,British Grand Prix,2017-07-16,Silverstone Circuit,UK,153,52.0786,-1.01694,32.5,4,4.0,2.0
979,22.681,22.305666666666667,21.919,3,2017,11,11,Hungarian Grand Prix,2017-07-30,Hungaroring,Hungary,264,47.5789,19.2486,31.666666666666668,3,2.0,1.0
980,25.65,23.0945,22.037,6,2017,12,13,Belgian Grand Prix,2017-08-27,Circuit de Spa-Francorchamps,Belgium,401,50.4372,5.97139,21.666666666666668,6,3.0,2.0
981,24.307,23.92,23.725,3,2017,13,14,Italian Grand Prix,2017-09-03,Autodromo Nazionale di Monza,Italy,162,45.6156,9.28111,32.0,3,3.6666666666666665,1.0
982,30.737,27.401692307692308,24.337,13,2017,14,15,Singapore Grand Prix,2017-09-17,Marina Bay Street Circuit,Singapore,18,1.2914,103.864,8.76923076923077,13,4.666666666666667,4.0
983,24.199,23.78,23.489,3,2017,15,2,Malaysian Grand Prix,2017-10-01,Sepang International Circuit,Malaysia,18,2.76083,101.738,27.33333333333333,3,2.6666666666666665,1.0
984,23.796,23.046666666666667,22.62,3,2017,16,22,Japanese Grand Prix,2017-10-08,Suzuka Circuit,Japan,45,34.8431,136.541,22.666666666666668,3,2.6666666666666665,1.0
985,24.3,23.72425,23.402,4,2017,17,69,United States Grand Prix,2017-10-22,Circuit of the Americas,USA,161,30.1328,-97.6411,23.25,4,2.6666666666666665,1.0
986,22.57,22.28933333333333,21.758,3,2017,18,32,Mexican Grand Prix,2017-10-29,Autódromo Hermanos Rodríguez,Mexico,2227,19.4042,-99.0907,32.0,3,3.6666666666666665,2.0
987,23.17,19.483666666666668,17.784,12,2017,19,18,Brazilian Grand Prix,2017-11-12,Autódromo José Carlos Pace,Brazil,785,-23.7036,-46.6997,8.5,12,2.0,4.0
988,21.478,21.32433333333333,21.221,3,2017,20,24,Abu Dhabi Grand Prix,2017-11-26,Yas Marina Circuit,UAE,3,24.4672,54.6031,21.666666666666668,3,2.0,1.0
989,21.821,21.67633333333333,21.421,3,2018,1,1,Australian Grand Prix,2018-03-25,Albert Park Grand Prix Circuit,Australia,10,-37.8497,144.968,21.0,3,2.0,1.0
990,26.105,24.977,24.302,3,2018,2,3,Bahrain Grand Prix,2018-04-08,Bahrain International Circuit,Bahrain,7,26.0325,50.5106,21.33333333333333,3,4.333333333333333,1.0
991,23.042,22.68575,22.097,4,2018,3,17,Chinese Grand Prix,2018-04-15,Shanghai International Circuit,China,5,31.3389,121.22,23.5,4,3.6666666666666665,1.0
992,30.012,24.525,20.377,6,2018,4,73,Azerbaijan Grand Prix,2018-04-29,Baku City Circuit,Azerbaijan,-7,40.3725,49.8533,24.166666666666668,6,5.333333333333333,2.0
993,23.213,22.346,21.74,3,2018,5,4,Spanish Grand Prix,2018-05-13,Circuit de Barcelona-Catalunya,Spain,109,41.57,2.26111,26.0,3,2.6666666666666665,1.0
994,24.542,24.081666666666667,23.739,3,2018,6,6,Monaco Grand Prix,2018-05-27,Circuit de Monaco,Monaco,7,43.7347,7.42056,15.0,3,2.0,1.0
995,23.775,23.48033333333333,23.137,3,2018,7,7,Canadian Grand Prix,2018-06-10,Circuit Gilles Villeneuve,Canada,13,45.5,-73.5228,29.666666666666668,3,2.0,1.0
996,24.395,24.331333333333333,24.289,3,2018,8,34,French Grand Prix,2018-06-24,Circuit Paul Ricard,France,432,43.2506,5.79167,30.666666666666668,3,3.6666666666666665,1.0
997,23.912,22.226,21.214,3,2018,9,70,Austrian Grand Prix,2018-07-01,Red Bull Ring,Austria,678,47.2197,14.7647,15.0,3,4.333333333333333,1.0
998,38.573,30.6782,28.174,5,2018,10,9,British Grand Prix,2018-07-08,Silverstone Circuit,UK,153,52.0786,-1.01694,24.8,5,2.0,2.0
999,33.279,22.216,18.978,5,2018,11,10,German Grand Prix,2018-07-22,Hockenheimring,Germany,103,49.3278,8.56583,37.8,5,6.333333333333333,1.0
1000,24.471,22.72275,21.48,4,2018,12,11,Hungarian Grand Prix,2018-07-29,Hungaroring,Hungary,264,47.5789,19.2486,29.0,4,2.6666666666666665,1.0
1001,22.375,20.977500000000003,19.372,6,2018,13,13,Belgian Grand Prix,2018-08-26,Circuit de Spa-Francorchamps,Belgium,401,50.4372,5.97139,12.0,6,3.333333333333333,2.0
1002,23.862,23.784333333333336,23.728,3,2018,14,14,Italian Grand Prix,2018-09-02,Autodromo Nazionale di Monza,Italy,162,45.6156,9.28111,28.0,3,2.6666666666666665,1.0
1003,29.681,29.116333333333333,28.722,3,2018,15,15,Singapore Grand Prix,2018-09-16,Marina Bay Street Circuit,Singapore,18,1.2914,103.864,15.333333333333334,3,2.0,1.0
1004,29.798,29.71433333333333,29.551,3,2018,16,71,Russian Grand Prix,2018-09-30,Sochi Autodrom,Russia,2,43.4057,39.9578,13.0,3,2.0,1.0
